,German,English
0,ich,I
1,sie,you
2,das,the
3,ist,is
4,du,you
5,nicht,Not
6,die,the
7,es,it
8,und,and
9,der,the
10,wir,we
11,was,What
12,zu,to
13,er,he
14,ein,on
15,in,in
16,ja,Yes
17,mir,me
18,mit,With
19,wie,as
20,den,the
21,mich,me
22,auf,on
23,dass,that
24,aber,but
25,eine,a
26,so,so
27,hat,Has
28,hier,here
29,haben,to have
30,für,For
31,sind,are
32,war,was
33,von,from
34,wenn,if
35,dich,you
36,ihr,their
37,nein,No
38,habe,have
39,an,at
40,bin,am
41,noch,still
42,nur,just
43,da,there
44,dir,to you
45,sich,themselves
46,einen,one
47,uns,us
48,hast,has
49,dem,the
50,kann,can
51,gut,Good
52,auch,also
53,schon,beautiful
54,als,when
55,sein,his
56,mal,times
57,jetzt,now
58,ihn,him
59,dann,then
60,aus,out
61,meine,my
62,um,around
63,im,in the
64,wird,becomes
65,mein,my
66,bist,are
67,doch,but
68,alles,everything
69,weiß,White
70,keine,no
71,oder,or
72,nach,after
73,s,s
74,nichts,Nothing
75,man,you
76,muss,got to
77,werden,will
78,will,want
79,ihnen,them
80,geht,going
81,wo,Where
82,etwas,something
83,oh,Oh
84,mehr,more
85,bei,at
86,also,so
87,bitte,You're welcome
88,immer,always
89,hab,hab
90,warum,Why
91,vor,in front
92,los,Come on
93,können,can
94,wieder,again
95,sagen,say
96,machen,do
97,danke,Thank you
98,sehr,very
99,alle,all
100,denn,because
101,mann,man
102,tun,to do
103,ihm,him
104,zum,to the
105,gehen,walk
106,sehen,see
107,vielleicht,maybe
108,einem,one
109,wer,who
110,ihre,your
111,diese,this
112,euch,to you
113,einer,one
114,komm,come over
115,über,over
116,gibt,gives
117,okay,OK
118,wissen,knowledge
119,deine,yours
120,müssen,have to
121,soll,should
122,werde,will
123,nie,never
124,wirklich,for real
125,hey,hey
126,kein,no
127,viel,a lot of
128,weg,path
129,würde,would
130,tut,does
131,am,at the
132,des,of
133,einfach,simple
134,leben,Life
135,hatte,would have
136,zeit,time
137,weil,because
138,willst,want
139,kommen,come
140,dein,your
141,heute,today
142,kommt,coming
143,wollen,want
144,damit,in order to
145,ganz,all
146,wäre,would
147,wollte,wanted to
148,weißt,know
149,ok,OK
150,sicher,for sure
151,gesagt,told
152,frau,Mrs
153,nun,now
154,bis,to
155,wurde,has been
156,leid,suffering
157,na,n / A
158,kannst,can
159,macht,makes
160,dieser,this
161,zurück,back
162,lassen,to let
163,hallo,Hello
164,meinen,say
165,gott,God
166,seine,his
167,hätte,would have
168,zwei,two
169,könnte,could
170,genau,I agree
171,waren,were
172,zur,to
173,lass,let
174,klar,clear
175,morgen,tomorrow
176,leute,People
177,vater,father
178,schön,beautiful
179,glaube,faith
180,mr.,mr.
181,ab,from
182,gerade,just
183,tag,Day
184,gesehen,seen
185,reden,talk
186,wohl,well
187,liebe,love
188,sollte,should
189,sagte,said
190,unsere,our
191,jemand,someone
192,geld,money
193,durch,by
194,ob,if
195,keinen,no
196,mutter,mother
197,raus,Out
198,gemacht,made
199,paar,pair
200,mach,mach
201,passiert,happens
202,dachte,thought
203,besser,better
204,musst,must
205,wieso,how so
206,sir,sir
207,dieses,this
208,selbst,even
209,gehört,belongs
210,möchte,would like to
211,ohne,without
212,hör,hear
213,her,here
214,sag,say
215,meiner,mine
216,anderen,other
217,helfen,help
218,nacht,night
219,finden,Find
220,diesen,this
221,gute,quality
222,wirst,will
223,lange,Long
224,natürlich,Naturally
225,ach,Oh
226,meinem,my
227,gar,at all
228,ins,in the
229,sei,be
230,dort,There
231,weiter,continue
232,geben,give
233,seit,since
234,gleich,equal
235,sagt,says
236,recht,Law
237,ihren,their
238,richtig,right
239,ordnung,order
240,vom,from
241,hören,Listen
242,sieht,looks
243,davon,from that
244,dafür,for this
245,geh,go
246,diesem,this
247,wegen,because of
248,hause,home
249,sollten,should
250,mädchen,girl
251,hin,down
252,sollen,should
253,abend,Eve
254,haus,House
255,denke,think
256,viele,lots
257,drei,three
258,deinen,your
259,freund,friend
260,guten,good
261,unser,our
262,warte,wait
263,machst,doing
264,menschen,People
265,essen,eat
266,angst,fear
267,bleiben,stay
268,zusammen,together
269,welt,world
270,unter,under
271,habt,have
272,schnell,fast
273,andere,other
274,tot,dead
275,getan,done
276,darf,may
277,erst,first
278,rein,purely
279,stimmt,Right
280,nehmen,to take
281,kinder,children
282,eines,one
283,glauben,believe
284,bringen,bring
285,ganze,whole
286,genug,enough
287,scheiße,crap
288,brauchen,need
289,gegen,against
290,moment,moment
291,junge,Boy
292,steht,stands
293,sonst,otherwise
294,musik,music
295,arbeit,job
296,seid,are
297,ihrer,of their
298,fragen,ask
299,herr,Mr
300,dabei,there
301,heißt,is called
302,familie,family
303,warten,waiting
304,niemand,no one
305,sofort,right away
306,bevor,before
307,jahre,years
308,einmal,once
309,problem,problem
310,sohn,son
311,wann,when
312,brauche,need
313,fertig,finished
